2019/1/1	元日
2019/1/14	成人の日
2019/2/11	建国記念の日
2019/3/21	春分の日
2019/4/29	昭和の日
2019/4/30	国民の休日
2019/5/1	天皇の即位の日
2019/5/2	国民の休日
2019/5/3	憲法記念日
2019/5/4	みどりの日
2019/5/5	こどもの日
2019/5/6	振替休日
2019/7/15	海の日
2019/8/11	山の日
2019/8/12	振替休日
2019/9/16	敬老の日
2019/9/23	秋分の日
2019/10/14	体育の日
2019/10/22	即位礼正殿の儀
2019/11/3	文化の日
2019/11/4	振替休日
2019/11/23	勤労感謝の日

2020/1/1	元日
2020/1/13	成人の日
2020/2/11	建国記念の日
2020/2/23	天皇誕生日
2020/2/24	振替休日
2020/3/20	春分の日
2020/4/29	昭和の日
2020/5/3	憲法記念日
2020/5/4	みどりの日
2020/5/5	こどもの日
2020/5/6	振替休日
2020/7/23	海の日
2020/7/24	スポーツの日
2020/8/10	山の日
2020/9/21	敬老の日
2020/9/22	秋分の日
2020/11/3	文化の日
2020/11/23	勤労感謝の日

2021/1/1	元日
2021/1/11	成人の日
2021/2/11	建国記念の日
2021/2/23	天皇誕生日
2021/3/20	春分の日
2021/4/29	昭和の日
2021/5/3	憲法記念日
2021/5/4	みどりの日
2021/5/5	こどもの日
2021/7/19	海の日
2021/8/11	山の日
2021/9/20	敬老の日
2021/9/23	秋分の日
2021/10/11	スポーツの日
2021/11/3	文化の日
2021/11/23	勤労感謝の日

2022/1/1	元日
2022/1/10	成人の日
2022/2/11	建国記念の日
2022/2/23	天皇誕生日
2022/3/21	春分の日
2022/4/29	昭和の日
2022/5/3	憲法記念日
2022/5/4	みどりの日
2022/5/5	こどもの日
2022/7/18	海の日
2022/8/11	山の日
2022/9/19	敬老の日
2022/9/23	秋分の日
2022/10/10	スポーツの日
2022/11/3	文化の日
2022/11/23	勤労感謝の日

2023/1/1	元日
2023/1/2	振替休日
2023/1/9	成人の日
2023/2/11	建国記念の日
2023/2/23	天皇誕生日
2023/3/21	春分の日
2023/4/29	昭和の日
2023/5/3	憲法記念日
2023/5/4	みどりの日
2023/5/5	こどもの日
2023/7/17	海の日
2023/8/11	山の日
2023/9/18	敬老の日
2023/9/23	秋分の日
2023/10/9	スポーツの日
2023/11/3	文化の日
2023/11/23	勤労感謝の日

2024/1/1	元日
2024/1/8	成人の日
2024/2/11	建国記念の日
2024/2/12	振替休日
2024/2/23	天皇誕生日
2024/3/20	春分の日
2024/4/29	昭和の日
2024/5/3	憲法記念日
2024/5/4	みどりの日
2024/5/5	こどもの日
2024/5/6	振替休日
2024/7/15	海の日
2024/8/11	山の日
2024/8/12	振替休日
2024/9/16	敬老の日
2024/9/22	秋分の日
2024/9/23	振替休日
2024/10/14	スポーツの日
2024/11/3	文化の日
2024/11/4	振替休日
2024/11/23	勤労感謝の日

2025/1/1	元日
2025/1/13	成人の日
2025/2/11	建国記念の日
2025/2/23	天皇誕生日
2025/2/24	振替休日
2025/3/20	春分の日
2025/4/29	昭和の日
2025/5/3	憲法記念日
2025/5/4	みどりの日
2025/5/5	こどもの日
2025/5/6	振替休日
2025/7/21	海の日
2025/8/11	山の日
2025/9/15	敬老の日
2025/9/23	秋分の日
2025/10/13	スポーツの日
2025/11/3	文化の日
2025/11/23	勤労感謝の日
2025/11/24	振替休日

2026/1/1	元日
2026/1/12	成人の日
2026/2/11	建国記念の日
2026/2/23	天皇誕生日
2026/3/20	春分の日
2026/4/29	昭和の日
2026/5/3	憲法記念日
2026/5/4	みどりの日
2026/5/5	こどもの日
2026/5/6	振替休日
2026/7/20	海の日
2026/8/11	山の日
2026/9/21	敬老の日
2026/9/22	国民の休日
2026/9/23	秋分の日
2026/10/12	スポーツの日
2026/11/3	文化の日
2026/11/23	勤労感謝の日

2027/1/1	元日
2027/1/11	成人の日
2027/2/11	建国記念の日
2027/2/23	天皇誕生日
2027/3/21	春分の日
2027/3/22	振替休日
2027/4/29	昭和の日
2027/5/3	憲法記念日
2027/5/4	みどりの日
2027/5/5	こどもの日
2027/7/19	海の日
2027/8/11	山の日
2027/9/20	敬老の日
2027/9/23	秋分の日
2027/10/11	スポーツの日
2027/11/3	文化の日
2027/11/23	勤労感謝の日

2028/1/1	元日
2028/1/10	成人の日
2028/2/11	建国記念の日
2028/2/23	天皇誕生日
2028/3/20	春分の日
2028/4/29	昭和の日
2028/5/3	憲法記念日
2028/5/4	みどりの日
2028/5/5	こどもの日
2028/7/17	海の日
2028/8/11	山の日
2028/9/18	敬老の日
2028/9/22	秋分の日
2028/10/9	スポーツの日
2028/11/3	文化の日
2028/11/23	勤労感謝の日
